trial_id,kind,class_name,height_m,speed_mps,status,measurement_completeness_status,artifact_set_complete,performance_verdict,performance_hard_failure,performance_failure_reasons,performance_metric_failure_reasons,p_confirm,p_selected,p_interrupt,stable_id,confirmation_exposure_sec,confirmation_processing_ms,confirmation_pipeline_ms,processing_receipt_reordered,stage_trace_enabled,complete_mapped_frames,partial_only_mapped_frames,complete_mapped_rate,partial_source_sets,p95_detector_inference_ms,p95_detector_processing_ms,eligible_frames,raw_class_frames,raw_geometry_frames,resolved_frames,refined_frames,geometry_verified_frames,association_valid_frames,center_refined_frames,detection_frames,map_valid_frames,failure_stage,map_invalid_rate,map_unavailable_rate,tf_failure_rate,mean_map_error_xy,p95_map_error_xy,map_error_sample_count,entered_fully_in_frame,left_fully_in_frame,expected_duration_sec,actual_duration_sec,expected_speed_mps,actual_speed_mps,camera_pose_frame_count,motion_sample_count,lateral_offset_sample_count,mean_actual_linear_speed_mps,p95_actual_linear_speed_mps,mean_abs_actual_yaw_rate_radps,p95_abs_actual_yaw_rate_radps,mean_abs_normalized_lateral_offset,p95_abs_normalized_lateral_offset,class_group_completed_trials,class_group_p_confirm,class_group_p_selected,class_group_mean_actual_linear_speed_mps,class_group_p95_abs_normalized_lateral_offset,height_group_completed_trials,height_group_p_confirm,height_group_p_selected,height_group_mean_actual_linear_speed_mps,height_group_p95_abs_normalized_lateral_offset,speed_group_completed_trials,speed_group_p_confirm,speed_group_p_selected,speed_group_mean_actual_linear_speed_mps,speed_group_p95_abs_normalized_lateral_offset,confirmed_observations,unexpected_confirmed_observations,disallowed_confirmed_observations,unique_confirmed_targets,policy_rejected_confirmed_observations,selected_observations,unexpected_selected_observations,disallowed_selected_observations,unique_selected_targets,policy_rejected_selected_observations,tank_confirmed_observations,tank_selected_observations,navigation_metrics_mode,navigation_target_stage_capability,navigation_metrics_reason,p_decision,p_dispatch,p_planner_arrival,p_interrupt_reason,navigation_binding_keys,navigation_validation_errors,lateral_bin,visibility_profile,p_confirm_visibility,p_selected_visibility,entered_visibility_window,left_visibility_window,requested_target_path_lateral_offset_m,requested_pixel_offset_x_normalized,target_lateral_sample_count,mean_target_path_lateral_offset_m,p95_abs_target_path_lateral_offset_m,mean_target_pixel_offset_x_normalized,p95_abs_target_pixel_offset_x_normalized,lateral_group_completed_trials,lateral_group_p_confirm,lateral_group_p_selected,lateral_group_p_confirm_visibility,lateral_group_p_selected_visibility,lateral_group_mean_target_path_lateral_offset_m,lateral_group_mean_target_pixel_offset_x_normalized,design_kind,relative_angle_deg,motion_profile,framing,relative_angle_measurement,planned_sample_count,expected_primary_target_id
lateral_tent_center,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,2,0.0,68.03106000006665,60.68406299982598,False,True,185,9,0.9536082474226805,"{""circle_detector+cross_detector"": 9}",50.8823,53.0261,32,30,32,30,30,30,30,30,30,30,,0.0,0.0625,0.0,0.0480345343372954,0.06240183269735439,30,True,True,7.0,7.019,1.0,0.9972930616896993,196,152,153,0.9677571414962293,1.923076923076155,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,0.9883186084847277,0.004642857142825767,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,429,304,304,3,390,39,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],center,full,True,True,True,True,0.0,0.0,32,0.0,0.0,0.019581067597323643,0.020495756625130923,5,1.0,1.0,1.0,1.0,0.0,0.019556380044469027,,,,,,,
lateral_tent_left75,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,1,0.0,51.20770900066418,45.7074920004743,False,True,182,11,0.9430051813471503,"{""circle_detector+cross_detector"": 11}",60.6922,62.3834,31,29,31,29,29,29,29,29,29,29,,0.0,0.06451612903225806,0.0,0.05428234594523502,0.1102217509291536,29,True,True,7.0,7.043,1.0,0.9938946471674003,194,151,152,0.996485371029785,2.17391304348131,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,0.9883186084847277,0.004642857142825767,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,246,123,123,2,208,38,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left75,full,True,True,True,True,-0.8710349230721868,-0.5242840150045246,31,-0.8710349230721868,0.8710349230721868,-0.5047165240258383,0.5057195389991888,5,1.0,1.0,1.0,1.0,-0.9437057305256029,-0.5484377391710045,,,,,,,
lateral_tent_right75,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,False,,2,0.0,95.23633200024051,77.37664799969934,False,True,178,11,0.9417989417989417,"{""circle_detector+cross_detector"": 11}",50.629000000000005,53.5626,30,29,30,29,29,29,29,29,29,29,,0.0,0.03333333333333333,0.0,0.0599028010512819,0.11190418391776391,29,True,True,7.0,7.028,1.0,0.9960159362549802,191,151,152,1.0022614209881517,2.1276595744669295,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,0.9883186084847277,0.004642857142825767,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,651,531,412,5,577,38,37,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right75,full,True,False,True,True,0.8710349230721868,0.5242840150045246,30,0.8710349230721868,0.8710349230721868,0.543853174268535,0.5446384908034663,5,1.0,0.6,1.0,0.6,0.9421917553703234,0.5866864941535564,,,,,,,
lateral_tent_left_partial,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,179,5,0.9728260869565217,"{""circle_detector+cross_detector"": 5}",54.26405,57.977,49,48,1,48,48,0,0,0,48,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.049,1.0,0.9930486593843098,185,146,147,0.986320001871965,1.933551198259295,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,0.9883186084847277,0.004642857142825767,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,0,0,0,0,0,0,0,0,0,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left_partial,partial,False,False,True,True,-1.4113798974295824,-0.8495226766696831,49,-1.4113798974295821,1.4113798974295821,-0.829967226710065,0.8318369155776233,5,,,0.0,0.0,-1.4441473871415165,-0.849688312318304,,,,,,,
lateral_tent_right_partial,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,168,4,0.9767441860465116,"{""circle_detector+cross_detector"": 4}",58.03275,61.2335,47,46,37,46,46,0,0,0,46,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.011,1.0,0.9984310369419483,173,136,137,0.9888965034508639,1.8696581196586064,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,0.9883186084847277,0.004642857142825767,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,712,712,437,5,651,61,61,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right_partial,partial,False,False,True,True,1.4113798974295824,0.8495226766696831,47,1.4113798974295821,1.4113798974295821,0.8691456077398643,0.8703940546651869,5,,,0.0,0.0,1.4478735414973787,0.8910819629970932,,,,,,,
lateral_pillbox_center,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,4,0.0,49.8878929993225,55.24327099919901,False,True,180,6,0.967741935483871,"{""circle_detector+cross_detector"": 6}",63.7647,66.35719999999999,29,27,29,27,27,27,27,27,27,27,,0.0,0.06896551724137931,0.0,0.04359644916174862,0.04573342365647949,27,True,True,7.0,7.044,1.0,0.9937535491198184,188,147,148,0.9865808398253874,1.7857142857130035,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,1.0472149732058487,0.004642857142825799,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,774,651,475,5,711,63,28,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],center,full,True,True,True,True,0.0,0.0,29,0.0,0.0,0.019565410524613795,0.02046713871270612,5,1.0,1.0,1.0,1.0,0.0,0.019556380044469027,,,,,,,
lateral_pillbox_left75,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,4,0.0,64.12427499981277,74.0989569994781,False,True,167,4,0.9766081871345029,"{""circle_detector+cross_detector"": 4}",60.457,64.47175,28,26,28,26,26,26,26,26,26,26,,0.0,0.07142857142857142,0.0,0.04142379432494292,0.09507718289790298,26,True,True,7.0,7.042,1.0,0.9940357852882704,174,133,134,0.9739436402258937,1.865828092243058,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,1.0472149732058487,0.004642857142825799,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,617,503,389,5,548,35,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left75,full,True,True,True,True,-0.8710349230721868,-0.5242840150045246,28,-0.8710349230721868,0.8710349230721868,-0.5046649446555276,0.5056794064401025,5,1.0,1.0,1.0,1.0,-0.9437057305256029,-0.5484377391710045,,,,,,,
lateral_pillbox_right75,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,False,,7,0.0,98.71741400002065,87.77698799985956,False,True,160,5,0.9696969696969697,"{""circle_detector+cross_detector"": 5}",63.569,65.6759,24,24,24,24,24,24,24,24,24,24,,0.0,0.0,0.0,0.054147413741552304,0.09517211388844808,24,True,True,7.0,7.017,1.0,0.9975773122416987,167,130,131,0.9666777665461437,1.9791666666598478,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,1.0472149732058487,0.004642857142825799,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,808,700,375,7,696,86,81,0,4,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right75,full,True,False,True,True,0.8710349230721868,0.5242840150045246,24,0.8710349230721868,0.8710349230721868,0.5438699468865826,0.5446039009538014,5,1.0,0.6,1.0,0.6,0.9421917553703234,0.5866864941535564,,,,,,,
lateral_pillbox_left_partial,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,161,13,0.9252873563218391,"{""circle_detector+cross_detector"": 13}",71.36425000000001,73.66550000000001,48,44,39,44,44,0,0,0,44,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.041,1.0,0.9941769634995029,176,140,141,1.3236193298489216,2.0041666666683846,0.0,0.0,0.004642857142825767,0.004642857142825767,5,1.0,0.6666666666666666,1.0472149732058487,0.004642857142825799,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,374,374,265,3,340,34,34,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left_partial,partial,False,False,True,True,-1.4113798974295824,-0.8495226766696831,48,-1.4113798974295821,1.4113798974295821,-0.8299906935511807,0.8318069333379361,5,,,0.0,0.0,-1.4441473871415165,-0.849688312318304,,,,,,,
lateral_pillbox_right_partial,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,164,5,0.9704142011834319,"{""circle_detector+cross_detector"": 5}",66.08199999999998,70.63139999999999,46,45,37,45,45,0,0,0,45,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.034,1.0,0.9951663349445551,171,134,135,0.9758084943177389,1.829966329968801,0.0,0.0,0.004642857142825799,0.004642857142825799,5,1.0,0.6666666666666666,1.0472149732058487,0.004642857142825799,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,25,1.0,0.8666666666666667,1.0124813823734617,0.006946418533425176,527,527,272,5,441,86,86,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right_partial,partial,False,False,True,True,1.4113798974295824,0.8495226766696831,46,1.4113798974295821,1.4113798974295821,0.8691656301411865,0.8703538025403603,5,,,0.0,0.0,1.4478735414973787,0.8910819629970932,,,,,,,
