trial_id,kind,class_name,height_m,speed_mps,status,measurement_completeness_status,artifact_set_complete,performance_verdict,performance_hard_failure,performance_failure_reasons,performance_metric_failure_reasons,p_confirm,p_selected,p_interrupt,stable_id,confirmation_exposure_sec,confirmation_processing_ms,confirmation_pipeline_ms,processing_receipt_reordered,stage_trace_enabled,complete_mapped_frames,partial_only_mapped_frames,complete_mapped_rate,partial_source_sets,p95_detector_inference_ms,p95_detector_processing_ms,eligible_frames,raw_class_frames,raw_geometry_frames,resolved_frames,refined_frames,geometry_verified_frames,association_valid_frames,center_refined_frames,detection_frames,map_valid_frames,failure_stage,map_invalid_rate,map_unavailable_rate,tf_failure_rate,mean_map_error_xy,p95_map_error_xy,map_error_sample_count,entered_fully_in_frame,left_fully_in_frame,expected_duration_sec,actual_duration_sec,expected_speed_mps,actual_speed_mps,camera_pose_frame_count,motion_sample_count,lateral_offset_sample_count,mean_actual_linear_speed_mps,p95_actual_linear_speed_mps,mean_abs_actual_yaw_rate_radps,p95_abs_actual_yaw_rate_radps,mean_abs_normalized_lateral_offset,p95_abs_normalized_lateral_offset,class_group_completed_trials,class_group_p_confirm,class_group_p_selected,class_group_mean_actual_linear_speed_mps,class_group_p95_abs_normalized_lateral_offset,height_group_completed_trials,height_group_p_confirm,height_group_p_selected,height_group_mean_actual_linear_speed_mps,height_group_p95_abs_normalized_lateral_offset,speed_group_completed_trials,speed_group_p_confirm,speed_group_p_selected,speed_group_mean_actual_linear_speed_mps,speed_group_p95_abs_normalized_lateral_offset,confirmed_observations,unexpected_confirmed_observations,disallowed_confirmed_observations,unique_confirmed_targets,policy_rejected_confirmed_observations,selected_observations,unexpected_selected_observations,disallowed_selected_observations,unique_selected_targets,policy_rejected_selected_observations,tank_confirmed_observations,tank_selected_observations,navigation_metrics_mode,navigation_target_stage_capability,navigation_metrics_reason,p_decision,p_dispatch,p_planner_arrival,p_interrupt_reason,navigation_binding_keys,navigation_validation_errors,lateral_bin,visibility_profile,p_confirm_visibility,p_selected_visibility,entered_visibility_window,left_visibility_window,requested_target_path_lateral_offset_m,requested_pixel_offset_x_normalized,target_lateral_sample_count,mean_target_path_lateral_offset_m,p95_abs_target_path_lateral_offset_m,mean_target_pixel_offset_x_normalized,p95_abs_target_pixel_offset_x_normalized,lateral_group_completed_trials,lateral_group_p_confirm,lateral_group_p_selected,lateral_group_p_confirm_visibility,lateral_group_p_selected_visibility,lateral_group_mean_target_path_lateral_offset_m,lateral_group_mean_target_pixel_offset_x_normalized,design_kind,relative_angle_deg,motion_profile,framing,relative_angle_measurement,planned_sample_count,expected_primary_target_id
d_single_01,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.0,97.53955099949962,64.84596399968723,False,True,121,7,0.9453125,"{""circle_detector+cross_detector"": 7}",48.42464999999999,50.542849999999994,51,50,51,50,50,50,50,50,50,50,,0.0,0.0196078431372549,0.0,0.04021015345738956,0.056617546325121684,50,True,True,4.0,4.026,1.0,0.9935419771485345,128,80,81,0.9851258772216479,1.9060891938254745,0.0,0.0,0.0,0.0,6,1.0,1.0,0.9893711244799847,0.18561439779508185,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,426,326,213,4,343,69,27,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,51,0.0,0.0,-0.013479984222089852,0.6470508606085434,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,0.0,constant,center,optical_image_basis,81,tent_1
d_single_02,dynamic,pillbox,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.0,83.1477290003022,75.97094300035678,False,True,118,0,1.0,{},50.009100000000004,53.862,47,47,47,47,47,47,47,47,47,47,,0.0,0.0,0.0,0.03748039443639682,0.08807786245764378,47,True,True,4.0,4.022,1.0,0.9945300845350571,119,82,83,0.9741242166640024,1.8181818181832856,5.896600841470769e-14,0.0,0.0,0.0,2,1.0,1.0,0.9886203260096832,0.20453131128909788,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,478,397,239,6,365,81,54,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,47,0.5607157153824841,0.5607157153824841,0.013174900547927734,0.6430384160672912,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,0.0,constant,quadrant,optical_image_basis,81,pillbox_1
d_single_05,dynamic,red_cross,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.08299999999996999,79.16836999993393,62.787187000139966,False,True,120,1,0.9917355371900827,"{""circle_detector+cross_detector"": 1}",54.70375,56.65125,46,46,46,46,46,46,46,46,46,46,,0.0,0.0,0.0,0.03834318835565844,0.07425414506419001,46,True,True,4.0,4.025,1.0,0.9937888198757763,123,38,39,1.0251057631028773,2.0476264972388365,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9736082407593527,0.19981288274052417,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,93,0,0,1,47,46,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,46,0.0,0.0,0.012436117269701032,0.8457278979698037,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,0.0,accel_decel,center,optical_image_basis,81,red_cross_1
d_single_06,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.0,74.6516099998189,62.37808800051425,False,True,116,0,1.0,{},45.599,48.141,41,41,41,41,41,41,41,41,41,41,,0.0,0.0,0.0,0.042257603763148355,0.0808635497972738,41,True,True,4.0,4.025,1.0,0.9937888198757763,120,81,82,1.0105827702006547,2.1721014492766186,0.0,0.0,0.0,0.0,6,1.0,1.0,0.9893711244799847,0.18561439779508185,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,596,520,298,6,483,82,44,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,41,0.5607157153824841,0.5607157153824841,-0.10770456776754919,0.665906586734034,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,0.0,accel_decel,quadrant,optical_image_basis,81,tent_1
d_single_08,dynamic,bridge,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,6,0.0,78.86138100002427,63.144327999907546,False,True,108,2,0.9818181818181818,"{""circle_detector+cross_detector"": 2}",49.94670000000001,51.666050000000006,20,20,20,20,20,20,20,20,20,20,,0.0,0.0,0.0,0.032651391361664776,0.04594696550080509,20,True,True,4.0,4.045,1.0,0.9888592694864444,111,73,74,0.9687004791268696,1.6771649460217635,0.37987062311085373,0.6589357472586093,0.136589937541277,0.20654523697553734,4,1.0,1.0,0.9756571316028261,0.20458643483278294,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,422,336,207,6,344,78,42,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,20,-1.3065621725385972,1.3065621725385972,0.368009271974448,0.5631135559939352,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,0.0,turn,quadrant,optical_image_basis,81,bridge_1
d_single_11,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.0,56.09852399993542,50.663861999964865,False,True,121,2,0.983739837398374,"{""circle_detector+cross_detector"": 2}",52.779599999999995,54.4325,24,23,24,23,23,23,23,23,23,23,,0.0,0.041666666666666664,0.0,0.049818341138615135,0.06818658961698171,23,True,True,4.0,4.028,1.0,0.99304865938431,124,82,83,0.966803419667194,2.1351216018141965,1.5397586346292903e-13,9.729178913760327e-13,2.083477351905774e-16,2.7755575615628914e-16,6,1.0,1.0,0.9893711244799847,0.18561439779508185,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,178,89,89,2,143,35,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,24,0.0,0.0,0.016298425705967866,0.5055576919503673,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,45.0,accel_decel,center,optical_image_basis,81,tent_1
d_single_15,dynamic,red_cross,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.08800000000007913,114.45905999971728,101.4601759998186,False,True,120,3,0.975609756097561,"{""circle_detector+cross_detector"": 3}",52.9554,55.7902,54,37,38,37,37,37,37,37,37,37,,0.0,0.3148148148148148,0.0,0.04648991787523956,0.10317811515708308,37,True,True,4.0,4.034,1.0,0.9915557127101309,124,79,80,0.9388194383277368,1.765994819883196,0.36850915277356344,0.6848796981905418,0.13382889280535723,0.20679329328612145,4,1.0,1.0,0.9736082407593527,0.19981288274052417,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,101,0,0,1,65,36,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,54,-0.7458464571561129,0.7458464571561129,0.0368406395944134,0.576186001047203,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,45.0,turn,center,optical_image_basis,81,red_cross_1
d_single_18,dynamic,bridge,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.0,56.63104300037958,68.22540299981483,False,True,109,0,1.0,{},55.633,57.86930000000001,34,34,34,34,34,34,34,34,34,34,,0.0,0.0,0.0,0.0448052442349124,0.09291635026235937,34,True,True,4.0,4.022,1.0,0.9945300845350571,110,74,75,0.9799338439567206,1.9607843137224616,3.2856600323396e-14,0.0,4.626623158661876e-16,5.551115123125783e-16,4,1.0,1.0,0.9756571316028261,0.20458643483278294,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,230,143,115,4,156,74,28,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,34,0.0,0.0,-0.025577243162823952,0.5522459746593731,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,45.0,constant,center,optical_image_basis,81,bridge_1
d_single_21,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.0,57.37184999998135,54.25648100026592,False,True,119,0,1.0,{},58.44360000000002,60.67305000000001,42,42,42,42,42,42,42,42,42,42,,0.0,0.0,0.0,0.03364708166267983,0.08415312416061148,42,True,True,4.0,4.022,1.0,0.9945141086704794,120,81,82,0.9841797011072937,2.1276961297124455,0.3864669856626461,0.8355299610595616,0.13405662841967114,0.20637283825270283,6,1.0,1.0,0.9893711244799847,0.18561439779508185,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,191,94,94,2,135,56,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,42,-0.7458464571561132,0.7458464571561132,-0.002020080788127726,0.5778378953049573,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,90.0,turn,center,optical_image_basis,81,tent_1
d_single_22,dynamic,pillbox,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.0,74.31368199922872,52.82925799929217,False,True,114,0,1.0,{},43.13205,46.848200000000006,20,20,20,20,20,20,20,20,20,20,,0.0,0.0,0.0,0.029477550739724127,0.04196170291107897,20,True,True,4.0,4.032,1.0,0.9920475558215947,114,80,81,1.003478838089006,1.7426129041541967,0.3941250662880902,0.6782764311375349,0.1348743564832788,0.2067932932861214,2,1.0,1.0,0.9886203260096832,0.20453131128909788,16,1.0,1.0,0.9823100413928877,0.20119771828300623,16,1.0,1.0,0.9823100413928877,0.20119771828300623,306,216,108,4,251,53,18,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,20,-1.3065621725385974,1.3065621725385974,0.36825314774742024,0.563113555993937,16,1.0,1.0,1.0,1.0,-0.08957205340231769,0.01933209844395543,single_pairwise,90.0,turn,quadrant,optical_image_basis,81,pillbox_1
