kind,class_name,height_m,speed_mps,successes,trials,p_selected,p_confirm,failure_stage,source_batch,seed_scope,performance_verdict
dynamic,bridge,1.2,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.2,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.2,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.2,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.8,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.8,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.8,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,1.8,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,2.4,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,2.4,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,2.4,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,2.4,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.0,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.0,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.0,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.0,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.6,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.6,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.6,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,bridge,3.6,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.2,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.2,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.2,1.5,0,1,0,0,raw_classifier,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.2,2.0,0,1,0,0,raw_classifier,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.8,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.8,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.8,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,1.8,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,2.4,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,2.4,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,2.4,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,2.4,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.0,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.0,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.0,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.0,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.6,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.6,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.6,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,panzer,3.6,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.2,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.2,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.2,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.2,2.0,0,1,0,0,truth_visibility,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.8,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.8,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.8,1.5,0,1,0,0,target_memory_admission,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,1.8,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,2.4,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,2.4,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,2.4,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,2.4,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.0,0.5,0,1,0,0,raw_classifier,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.0,1.0,0,1,0,0,target_memory_admission,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.0,1.5,0,1,0,0,geometry_association,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.0,2.0,0,1,0,0,target_memory_admission,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.6,0.5,0,1,0,0,geometry_association,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.6,1.0,0,1,0,0,raw_classifier,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.6,1.5,0,1,0,0,raw_classifier,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,pillbox,3.6,2.0,0,1,0,0,raw_classifier,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.2,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.2,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.2,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.2,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.8,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.8,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.8,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,1.8,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,2.4,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,2.4,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,2.4,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,2.4,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.0,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.0,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.0,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.0,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.6,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.6,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.6,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,red_cross,3.6,2.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,tent,1.2,0.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,tent,1.2,1.0,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,tent,1.2,1.5,1,1,1,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
dynamic,tent,1.2,2.0,0,1,0,1,none,B_full100_seed11,single_seed_11,DIAGNOSTIC_ONLY
