trial_id,kind,class_name,height_m,speed_mps,status,measurement_completeness_status,artifact_set_complete,performance_verdict,performance_hard_failure,performance_failure_reasons,performance_metric_failure_reasons,p_confirm,p_selected,p_interrupt,stable_id,confirmation_exposure_sec,confirmation_processing_ms,confirmation_pipeline_ms,processing_receipt_reordered,stage_trace_enabled,complete_mapped_frames,partial_only_mapped_frames,complete_mapped_rate,partial_source_sets,p95_detector_inference_ms,p95_detector_processing_ms,eligible_frames,raw_class_frames,raw_geometry_frames,resolved_frames,refined_frames,geometry_verified_frames,association_valid_frames,center_refined_frames,detection_frames,map_valid_frames,failure_stage,map_invalid_rate,map_unavailable_rate,tf_failure_rate,mean_map_error_xy,p95_map_error_xy,map_error_sample_count,entered_fully_in_frame,left_fully_in_frame,expected_duration_sec,actual_duration_sec,expected_speed_mps,actual_speed_mps,camera_pose_frame_count,motion_sample_count,lateral_offset_sample_count,mean_actual_linear_speed_mps,p95_actual_linear_speed_mps,mean_abs_actual_yaw_rate_radps,p95_abs_actual_yaw_rate_radps,mean_abs_normalized_lateral_offset,p95_abs_normalized_lateral_offset,class_group_completed_trials,class_group_p_confirm,class_group_p_selected,class_group_mean_actual_linear_speed_mps,class_group_p95_abs_normalized_lateral_offset,height_group_completed_trials,height_group_p_confirm,height_group_p_selected,height_group_mean_actual_linear_speed_mps,height_group_p95_abs_normalized_lateral_offset,speed_group_completed_trials,speed_group_p_confirm,speed_group_p_selected,speed_group_mean_actual_linear_speed_mps,speed_group_p95_abs_normalized_lateral_offset,confirmed_observations,unexpected_confirmed_observations,disallowed_confirmed_observations,unique_confirmed_targets,policy_rejected_confirmed_observations,selected_observations,unexpected_selected_observations,disallowed_selected_observations,unique_selected_targets,policy_rejected_selected_observations,tank_confirmed_observations,tank_selected_observations,navigation_metrics_mode,navigation_target_stage_capability,navigation_metrics_reason,p_decision,p_dispatch,p_planner_arrival,p_interrupt_reason,navigation_binding_keys,navigation_validation_errors,lateral_bin,visibility_profile,p_confirm_visibility,p_selected_visibility,entered_visibility_window,left_visibility_window,requested_target_path_lateral_offset_m,requested_pixel_offset_x_normalized,target_lateral_sample_count,mean_target_path_lateral_offset_m,p95_abs_target_path_lateral_offset_m,mean_target_pixel_offset_x_normalized,p95_abs_target_pixel_offset_x_normalized,lateral_group_completed_trials,lateral_group_p_confirm,lateral_group_p_selected,lateral_group_p_confirm_visibility,lateral_group_p_selected_visibility,lateral_group_mean_target_path_lateral_offset_m,lateral_group_mean_target_pixel_offset_x_normalized,design_kind,relative_angle_deg,motion_profile,framing,relative_angle_measurement,planned_sample_count,expected_primary_target_id
lateral_tent_center,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,1,0.0,65.8698019979056,80.2421679982217,False,True,65,92,0.4140127388535032,"{""circle_detector"": 9, ""circle_detector+cross_detector"": 67, ""circle_detector+target_detector"": 2, ""cross_detector"": 8, ""cross_detector+target_detector"": 4, ""target_detector"": 2}",73.5645,77.621,11,6,9,6,6,5,5,5,5,5,,0.0,0.5454545454545454,0.0,0.13622982540908404,0.1927024799521302,5,True,True,7.0,7.015,1.0,0.9978617248752674,175,123,124,0.9986237635911586,1.6129032258088016,0.0,0.0,0.0,0.0,5,1.0,0.6666666666666666,0.9938331254839882,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,38,18,18,3,19,19,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],center,full,True,True,True,True,0.0,0.0,11,0.0,0.0,0.00010522234052908047,0.000764068566549092,5,1.0,0.8,1.0,0.8,0.0,9.74127550083129e-05,,,,,,,
lateral_tent_left75,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,0,0.0,,107.97363999881782,False,True,66,85,0.4370860927152318,"{""circle_detector"": 14, ""circle_detector+cross_detector"": 55, ""circle_detector+target_detector"": 2, ""cross_detector"": 9, ""cross_detector+target_detector"": 5}",55.5505,58.638999999999996,9,6,9,6,6,6,6,6,6,6,,0.0,0.3333333333333333,0.0,0.1090938699074648,0.1184582222984888,6,True,True,7.0,7.0,1.0,1.0,171,124,125,0.9574883426965364,1.6129032258082128,0.0,0.0,0.0,0.0,5,1.0,0.6666666666666666,0.9938331254839882,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,32,15,15,2,16,16,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left75,full,True,True,True,True,-1.2131965979605575,-0.5729123520594616,9,-1.2131965979605572,1.2131965979605572,-0.5726947387566131,0.573420756438588,5,1.0,1.0,1.0,1.0,-1.277864965307496,-0.6032095888279511,,,,,,,
lateral_tent_right75,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,False,,3,0.033999999999991815,32.04744100366952,78.06073700339766,False,True,72,76,0.4864864864864865,"{""circle_detector"": 5, ""circle_detector+cross_detector"": 54, ""circle_detector+target_detector"": 5, ""cross_detector"": 5, ""cross_detector+target_detector"": 5, ""target_detector"": 2}",100.07475000000001,106.07325,8,4,8,4,4,4,4,4,3,3,,0.0,0.625,0.0,0.11747728822594204,0.117948874453439,3,True,True,7.0,7.012,1.0,0.9982886480319453,164,131,132,0.9795400229527529,1.6666666666681875,0.0,0.0,0.0,0.0,5,1.0,0.6666666666666666,0.9938331254839882,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,92,75,47,7,50,28,26,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right75,full,True,False,True,True,1.2131965979605575,0.5729123520594616,8,1.2131965979605575,1.2131965979605575,0.5730673868816454,0.573616563254656,5,1.0,0.6,1.0,0.6,1.275551249123348,0.6024703838261732,,,,,,,
lateral_tent_left_partial,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,79,74,0.5163398692810458,"{""circle_detector"": 9, ""circle_detector+cross_detector"": 49, ""circle_detector+target_detector"": 6, ""cross_detector"": 6, ""cross_detector+target_detector"": 2, ""target_detector"": 2}",68.0732,71.07939999999999,15,9,0,9,9,0,0,0,8,0,raw_geometry,1.0,1.0,0.0,,,0,False,False,7.0,7.006,1.0,0.9991435912075364,168,124,125,0.998614766759283,1.7241379310346883,0.0,0.0,0.0,0.0,5,1.0,0.6666666666666666,0.9938331254839882,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,0,0,0,0,0,0,0,0,0,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left_partial,partial,False,False,True,True,-1.86759546394741,-0.8819415680396411,15,-1.8675954639474097,1.8675954639474097,-0.8817304145728925,0.8831760028360264,5,,,0.0,0.0,-1.9018059902631994,-0.8978614099079103,,,,,,,
lateral_tent_right_partial,dynamic,tent,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,72,77,0.48322147651006714,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 52, ""circle_detector+target_detector"": 4, ""cross_detector"": 6, ""cross_detector+target_detector"": 6, ""target_detector"": 1}",70.75405,77.31735,14,10,13,10,10,0,0,0,9,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.005,1.0,0.9992862241256246,172,127,129,1.0347542080975103,1.6864406779671723,0.0,0.0,0.0,0.0,5,1.0,0.6666666666666666,0.9938331254839882,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,112,112,52,8,56,42,42,0,4,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right_partial,partial,False,False,True,True,1.86759546394741,0.8819415680396411,14,1.86759546394741,1.86759546394741,0.8820853342599848,0.8829509637167883,5,,,0.0,0.0,1.9009287972807432,0.8978625843085809,,,,,,,
lateral_pillbox_center,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,False,,6,0.09300000000007458,151.98182299354812,130.69949399505276,False,True,78,76,0.5064935064935064,"{""circle_detector"": 7, ""circle_detector+cross_detector"": 54, ""circle_detector+target_detector"": 4, ""cross_detector"": 9, ""cross_detector+target_detector"": 2}",52.953900000000004,57.4355,9,7,9,7,7,7,7,7,6,6,,0.0,0.3333333333333333,0.0,0.11906283439287106,0.13601135009642107,6,True,True,7.0,7.011,1.0,0.9984310369419483,175,127,128,0.9886384361438454,1.7672413793095214,0.0,0.0,0.0,0.0,5,1.0,0.3333333333333333,0.9967402451260916,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,127,111,58,10,62,53,50,0,5,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],center,full,True,False,True,True,0.0,0.0,9,0.0,0.0,0.0002658871669328593,0.0008373644842461303,5,1.0,0.8,1.0,0.8,0.0,9.74127550083129e-05,,,,,,,
lateral_pillbox_left75,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,True,,4,0.0,,98.75774700049078,False,True,63,78,0.44680851063829785,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 48, ""circle_detector+target_detector"": 9, ""cross_detector"": 9, ""cross_detector+target_detector"": 2, ""target_detector"": 2}",52.098,55.590999999999994,6,3,5,3,3,3,3,3,3,3,,0.0,0.5,0.0,0.13364157797384596,0.13474659333885208,3,True,True,7.0,7.001,1.0,0.999857163262391,164,124,125,1.0003612513425788,1.8133116883097014,0.0,0.0,0.0,0.0,5,1.0,0.3333333333333333,0.9967402451260916,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,72,60,39,5,42,19,8,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left75,full,True,True,True,True,-1.2131965979605575,-0.5729123520594616,6,-1.2131965979605575,1.2131965979605575,-0.5727313375242886,0.5734174649213797,5,1.0,1.0,1.0,1.0,-1.277864965307496,-0.6032095888279511,,,,,,,
lateral_pillbox_right75,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],True,False,,7,0.06600000000003092,121.17720099922735,224.00267599732615,False,True,69,80,0.46308724832214765,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 53, ""circle_detector+target_detector"": 4, ""cross_detector"": 11, ""cross_detector+target_detector"": 4}",124.89519999999999,132.117,8,5,7,5,5,5,5,5,5,5,,0.0,0.375,0.0,0.11467711014234616,0.13425361318637333,5,True,True,7.0,7.002,1.0,0.9997143673236218,163,121,123,0.9539618057334893,1.6129032258090958,0.0,0.0,0.0,0.0,5,1.0,0.3333333333333333,0.9967402451260916,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,115,98,50,9,54,46,45,0,5,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right75,full,True,False,True,True,1.2131965979605575,0.5729123520594616,8,1.2131965979605575,1.2131965979605575,0.5729559040911996,0.5734593584530703,5,1.0,0.6,1.0,0.6,1.275551249123348,0.6024703838261732,,,,,,,
lateral_pillbox_left_partial,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,68,84,0.4473684210526316,"{""circle_detector"": 5, ""circle_detector+cross_detector"": 55, ""circle_detector+target_detector"": 6, ""cross_detector"": 11, ""cross_detector+target_detector"": 7}",62.90859999999999,66.1682,14,9,14,9,9,0,0,0,9,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.015,1.0,0.9978617248752674,170,126,127,0.9928504127768479,1.6129032258090958,0.0,0.0,0.0,0.0,5,1.0,0.3333333333333333,0.9967402451260916,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,72,72,38,3,40,32,32,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],left_partial,partial,False,False,True,True,-1.86759546394741,-0.8819415680396411,14,-1.86759546394741,1.86759546394741,-0.8817716249453014,0.8831688997070994,5,,,0.0,0.0,-1.9018059902631994,-0.8978614099079103,,,,,,,
lateral_pillbox_right_partial,dynamic,pillbox,2.4,1.0,completed,MEASURED,True,NOT_GATED,False,"[""threshold_unfrozen:max_tf_failure_rate"", ""threshold_unfrozen:min_p_confirm"", ""threshold_unfrozen:min_p_selected""]",[],,,,,,,,False,True,61,94,0.3935483870967742,"{""circle_detector"": 9, ""circle_detector+cross_detector"": 61, ""circle_detector+target_detector"": 7, ""cross_detector"": 13, ""cross_detector+target_detector"": 3, ""target_detector"": 1}",64.729,73.2524,19,9,15,8,8,0,0,0,8,0,geometry_association,1.0,1.0,0.0,,,0,False,False,7.0,7.015,1.0,0.9978617248752674,170,127,128,1.0459231979797174,1.6666666666681766,0.0,0.0,0.0,0.0,5,1.0,0.3333333333333333,0.9967402451260916,0.0,25,1.0,0.8,1.0186876651821624,0.0,25,1.0,0.8,1.0186876651821624,0.0,71,71,30,7,33,38,38,0,4,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],right_partial,partial,False,False,True,True,1.86759546394741,0.8819415680396411,19,1.8675954639474102,1.8675954639474104,0.8821783142637877,0.8829572364605407,5,,,0.0,0.0,1.9009287972807432,0.8978625843085809,,,,,,,
