trial_id,kind,class_name,height_m,speed_mps,status,measurement_completeness_status,artifact_set_complete,performance_verdict,performance_hard_failure,performance_failure_reasons,performance_metric_failure_reasons,p_confirm,p_selected,p_interrupt,stable_id,confirmation_exposure_sec,confirmation_processing_ms,confirmation_pipeline_ms,processing_receipt_reordered,stage_trace_enabled,complete_mapped_frames,partial_only_mapped_frames,complete_mapped_rate,partial_source_sets,p95_detector_inference_ms,p95_detector_processing_ms,eligible_frames,raw_class_frames,raw_geometry_frames,resolved_frames,refined_frames,geometry_verified_frames,association_valid_frames,center_refined_frames,detection_frames,map_valid_frames,failure_stage,map_invalid_rate,map_unavailable_rate,tf_failure_rate,mean_map_error_xy,p95_map_error_xy,map_error_sample_count,entered_fully_in_frame,left_fully_in_frame,expected_duration_sec,actual_duration_sec,expected_speed_mps,actual_speed_mps,camera_pose_frame_count,motion_sample_count,lateral_offset_sample_count,mean_actual_linear_speed_mps,p95_actual_linear_speed_mps,mean_abs_actual_yaw_rate_radps,p95_abs_actual_yaw_rate_radps,mean_abs_normalized_lateral_offset,p95_abs_normalized_lateral_offset,class_group_completed_trials,class_group_p_confirm,class_group_p_selected,class_group_mean_actual_linear_speed_mps,class_group_p95_abs_normalized_lateral_offset,height_group_completed_trials,height_group_p_confirm,height_group_p_selected,height_group_mean_actual_linear_speed_mps,height_group_p95_abs_normalized_lateral_offset,speed_group_completed_trials,speed_group_p_confirm,speed_group_p_selected,speed_group_mean_actual_linear_speed_mps,speed_group_p95_abs_normalized_lateral_offset,confirmed_observations,unexpected_confirmed_observations,disallowed_confirmed_observations,unique_confirmed_targets,policy_rejected_confirmed_observations,selected_observations,unexpected_selected_observations,disallowed_selected_observations,unique_selected_targets,policy_rejected_selected_observations,tank_confirmed_observations,tank_selected_observations,navigation_metrics_mode,navigation_target_stage_capability,navigation_metrics_reason,p_decision,p_dispatch,p_planner_arrival,p_interrupt_reason,navigation_binding_keys,navigation_validation_errors,lateral_bin,visibility_profile,p_confirm_visibility,p_selected_visibility,entered_visibility_window,left_visibility_window,requested_target_path_lateral_offset_m,requested_pixel_offset_x_normalized,target_lateral_sample_count,mean_target_path_lateral_offset_m,p95_abs_target_path_lateral_offset_m,mean_target_pixel_offset_x_normalized,p95_abs_target_pixel_offset_x_normalized,lateral_group_completed_trials,lateral_group_p_confirm,lateral_group_p_selected,lateral_group_p_confirm_visibility,lateral_group_p_selected_visibility,lateral_group_mean_target_path_lateral_offset_m,lateral_group_mean_target_pixel_offset_x_normalized,design_kind,relative_angle_deg,motion_profile,framing,relative_angle_measurement,planned_sample_count,expected_primary_target_id
d_single_01,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.0,155.71030900173355,66.64076200104319,False,True,50,44,0.5319148936170213,"{""circle_detector"": 5, ""circle_detector+cross_detector"": 29, ""circle_detector+target_detector"": 2, ""cross_detector"": 5, ""cross_detector+target_detector"": 2, ""target_detector"": 1}",61.318200000000004,64.8646,52,29,45,27,27,26,26,26,26,26,,0.0,0.5,0.0,0.12346112808560147,0.16936559586269226,26,True,True,4.0,4.019,1.0,0.9952724558347847,111,68,70,0.9828822423819195,1.60394265232773,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9923849143128636,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,101,71,47,6,50,32,18,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,52,0.0,0.0,0.03360460999901156,0.7083483286966483,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,0.0,constant,center,optical_image_basis,81,tent_1
d_single_05,dynamic,red_cross,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.20100000000002183,153.34890299709514,66.02279000071576,False,True,51,51,0.5,"{""circle_detector"": 6, ""circle_detector+cross_detector"": 34, ""circle_detector+target_detector"": 6, ""cross_detector"": 5}",65.71899999999998,73.30099999999997,57,33,45,28,28,28,28,28,28,28,,0.0,0.5087719298245614,0.0,0.12884829905796336,0.13528103041829115,28,True,True,4.0,4.013,1.0,0.99676052828308,116,73,74,0.9552897914882564,2.1934859360415753,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9831805263575554,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,30,0,0,1,1,29,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,57,0.0,0.0,0.03659491638149268,0.9036060616607514,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,0.0,accel_decel,center,optical_image_basis,81,red_cross_1
d_single_11,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.0,166.64880399912363,101.90012399834814,False,True,33,55,0.375,"{""circle_detector"": 7, ""circle_detector+cross_detector"": 20, ""circle_detector+target_detector"": 23, ""cross_detector"": 2, ""cross_detector+target_detector"": 2, ""target_detector"": 1}",63.3158,67.13810000000001,37,24,28,24,24,22,22,22,11,11,,0.0,0.7027027027027027,0.0,0.11733244440351964,0.12786773730580564,11,True,True,4.0,4.021,1.0,0.9947774185525988,120,74,75,0.960960942908543,2.4691228546319226,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9923849143128636,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,27,13,13,2,14,13,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,37,0.0,0.0,-0.004589123014992735,0.6493171241003246,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,45.0,accel_decel,center,optical_image_basis,81,tent_1
d_single_15,dynamic,red_cross,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.46500000000003183,362.59588100074325,224.35956000117585,False,True,29,55,0.34523809523809523,"{""circle_detector"": 13, ""circle_detector+cross_detector"": 4, ""circle_detector+target_detector"": 31, ""cross_detector"": 2, ""cross_detector+target_detector"": 1, ""target_detector"": 4}",69.5594,71.3192,54,20,12,7,7,7,7,7,7,7,,0.0,0.8703703703703703,0.0,0.11988949981728615,0.12867094918044872,7,True,True,4.0,4.021,1.0,0.9947614387149136,121,76,77,1.0247157614028122,1.8109320050759645,0.4024160966374299,0.7111716860275163,0.0,0.0,4,1.0,1.0,0.9831805263575554,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,6,0,0,1,1,5,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,54,-0.7458464571561129,0.7458464571561129,0.007949599593489539,0.4421744766130037,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,45.0,turn,center,optical_image_basis,81,red_cross_1
d_single_18,dynamic,bridge,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.4270000000000209,257.4562100053299,197.10222800495103,False,True,24,56,0.3,"{""circle_detector"": 13, ""circle_detector+cross_detector"": 7, ""circle_detector+target_detector"": 29, ""cross_detector"": 1, ""cross_detector+target_detector"": 3, ""target_detector"": 4}",59.8514,64.679,51,29,37,29,29,24,24,24,9,9,,0.0,0.8235294117647058,0.0,0.12453473335740317,0.15185956779202517,9,True,True,4.0,4.017,1.0,0.9957679860592481,117,72,75,1.038584488609982,1.785714285713003,0.0,0.0,0.0,0.0,2,1.0,1.0,0.9957694114869161,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,33,21,18,5,19,14,3,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,51,0.0,0.0,-0.0018486357801987888,0.6020964199760315,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,45.0,constant,center,optical_image_basis,81,bridge_1
d_single_21,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.26400000000001,202.57528699585237,140.46585599862738,False,True,24,59,0.2891566265060241,"{""circle_detector"": 14, ""circle_detector+cross_detector"": 6, ""circle_detector+target_detector"": 24, ""cross_detector"": 1, ""cross_detector+target_detector"": 4, ""target_detector"": 10}",72.1745,75.6088,53,30,32,30,30,23,23,23,11,11,,0.0,0.7924528301886793,0.0,0.1275855701011088,0.1526885968584782,11,True,True,4.0,4.003,1.0,0.999234510385378,123,74,76,1.063970899289762,2.064578304470995,0.4178361353571392,0.810838429249578,0.0,0.0,4,1.0,1.0,0.9923849143128636,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,19,7,7,2,8,11,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,53,-0.7458464571561132,0.7458464571561132,0.018875270583277558,0.6278149528864742,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,90.0,turn,center,optical_image_basis,81,tent_1
d_single_22,dynamic,pillbox,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.66700000000003,465.98024299601093,277.0123390000663,False,True,22,68,0.24444444444444444,"{""circle_detector"": 14, ""circle_detector+cross_detector"": 7, ""circle_detector+target_detector"": 32, ""cross_detector"": 3, ""cross_detector+target_detector"": 6, ""target_detector"": 6}",49.63120000000001,52.904900000000005,24,13,17,13,13,11,11,11,5,5,,0.0,0.7916666666666666,0.0,0.12945920557212964,0.14680287995349614,5,True,True,4.0,4.027,1.0,0.9932793009865082,122,71,72,0.9299156795774359,1.8018322695810367,0.36519167576035166,0.7076233452685741,0.0,0.0,1,1.0,1.0,0.9299156795774359,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,16,11,8,4,11,5,1,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,24,-1.2818628089678028,1.2818628089678028,0.3455644276981918,0.5403888649205214,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,90.0,turn,quadrant,optical_image_basis,81,pillbox_1
d_single_25,dynamic,red_cross,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,2.091000000000122,330.19539400265785,234.0153030017973,False,True,23,57,0.2875,"{""circle_detector"": 9, ""circle_detector+cross_detector"": 7, ""circle_detector+target_detector"": 31, ""cross_detector"": 1, ""cross_detector+target_detector"": 3, ""target_detector"": 6}",61.3411,65.21449999999999,70,27,13,12,12,12,12,12,11,11,,0.0,0.8428571428571429,0.0,0.129056468178767,0.1375026249423167,11,True,True,4.0,4.003,1.0,0.9992505620784411,123,70,73,0.961710709706394,1.669908307864731,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9831805263575554,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,12,1,1,2,2,10,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,70,0.0,0.0,-0.019897414738808048,0.8736245417188069,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,90.0,constant,center,optical_image_basis,81,red_cross_1
d_single_31,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,0.20000000000004547,194.2233700028737,126.07310400198912,False,True,24,52,0.3157894736842105,"{""circle_detector"": 10, ""circle_detector+cross_detector"": 7, ""circle_detector+target_detector"": 26, ""cross_detector+target_detector"": 2, ""target_detector"": 7}",74.4733,76.5628,48,27,34,27,27,24,24,24,12,12,,0.0,0.75,0.0,0.1375748518613273,0.15822115721856403,12,True,True,4.0,4.017,1.0,0.9957679860592479,118,70,72,0.95915909555477,1.6822033898316795,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9923849143128636,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,28,13,13,2,14,14,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,48,-2.220446049250313e-16,2.220446049250313e-16,0.008365689177083012,0.5820253372449478,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,135.0,constant,center,optical_image_basis,81,tent_1
d_single_35,dynamic,red_cross,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,0,1.8330000000000837,351.54122300446033,253.4509320030338,False,True,23,46,0.3333333333333333,"{""circle_detector"": 9, ""circle_detector+cross_detector"": 4, ""circle_detector+target_detector"": 25, ""cross_detector"": 1, ""cross_detector+target_detector"": 4, ""target_detector"": 4}",69.30235,73.58235,50,13,7,4,4,4,4,4,4,4,,0.0,0.92,0.0,0.12811032694856045,0.12930390081059487,4,True,True,4.0,4.006,1.0,0.998502246630055,113,71,72,0.9885640889998173,2.09228751509883,0.0,0.0,0.0,0.0,4,1.0,1.0,0.9831805263575554,0.0,11,1.0,1.0,0.984034111177741,0.0,11,1.0,1.0,0.984034111177741,0.0,7,0,0,1,1,6,0,0,1,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,,,50,0.0,0.0,0.0762079942282993,0.8560311646627397,11,1.0,1.0,1.0,1.0,-0.28019194293977423,0.03037745530037717,single_pairwise,135.0,accel_decel,center,optical_image_basis,81,red_cross_1
